date,drug_id,drug_name,region,units_sold,moving_avg_sales_7d,price_per_unit,manufacturer,dosage_form,disease_name,region_disease_cases,google_trend_score,season,stock_available,lead_time_days,supplier_id,pending_orders,warehouse_id,auto_reorder_level,temperature,humidity,pollution_index,event_flag
2025-02-23,101,Paracetamol,South,197,197,14.86,PharmaA,Tablet,Flu,20,33,Summer,357,5,1,8,1,100,30.4,86,171,0
2025-02-23,102,Amoxicillin,North,145,145,7.12,PharmaB,Capsule,Infection,156,95,Summer,156,6,3,99,1,100,15,87,156,1
2025-02-24,101,Paracetamol,North,182,189.5,6.13,PharmaA,Tablet,Flu,110,79,Summer,201,5,3,61,1,100,16.1,80,58,0
2025-02-24,102,Amoxicillin,South,157,151,9.48,PharmaB,Capsule,Infection,198,48,Winter,239,3,2,20,1,100,27.1,81,118,1
2025-02-25,101,Paracetamol,North,187,188.666666666667,11.52,PharmaA,Tablet,Flu,104,69,Winter,86,6,3,9,2,100,21.7,33,68,0
2025-02-25,102,Amoxicillin,North,135,145.666666666667,19.96,PharmaB,Capsule,Infection,105,87,Winter,182,5,5,37,2,100,29.8,48,52,1
2025-02-26,101,Paracetamol,South,204,192.5,5.53,PharmaA,Tablet,Flu,120,34,Summer,208,3,2,19,1,100,18.7,76,153,0
2025-02-26,102,Amoxicillin,South,169,151.5,9.96,PharmaB,Capsule,Infection,86,85,Summer,415,5,5,79,1,100,16.3,51,56,1
2025-02-27,101,Paracetamol,South,207,195.4,16.12,PharmaA,Tablet,Flu,27,91,Summer,489,5,3,30,2,100,20.2,61,137,0
2025-02-27,102,Amoxicillin,North,170,155.2,19.84,PharmaB,Capsule,Infection,124,34,Winter,346,2,3,69,1,100,26.6,63,161,1
2025-02-28,101,Paracetamol,South,195,195.333333333333,19.51,PharmaA,Tablet,Flu,132,37,Winter,133,4,1,65,1,100,25.1,54,174,0
2025-02-28,102,Amoxicillin,North,132,151.333333333333,17.56,PharmaB,Capsule,Infection,40,69,Winter,311,7,3,21,1,100,24.7,55,154,0
2025-03-01,101,Paracetamol,South,210,197.428571428571,10.45,PharmaA,Tablet,Flu,51,60,Summer,182,3,3,84,1,100,30.1,40,130,0
2025-03-01,102,Amoxicillin,North,156,152,8.33,PharmaB,Capsule,Infection,183,63,Summer,400,4,2,96,2,100,31.5,67,113,1
2025-03-02,101,Paracetamol,North,196,197.285714285714,12.19,PharmaA,Tablet,Flu,42,94,Winter,88,7,5,81,1,100,21.5,41,83,1
2025-03-02,102,Amoxicillin,North,141,151.428571428571,14.5,PharmaB,Capsule,Infection,189,49,Winter,224,4,1,15,2,100,34,41,83,0
2025-03-03,101,Paracetamol,North,224,203.285714285714,14.28,PharmaA,Tablet,Flu,139,91,Winter,384,5,2,39,2,100,33.9,47,98,1
2025-03-03,102,Amoxicillin,South,138,148.714285714286,10.89,PharmaB,Capsule,Infection,121,73,Summer,331,6,3,89,1,100,28.5,68,144,1
2025-03-04,101,Paracetamol,North,185,203,8.95,PharmaA,Tablet,Flu,60,59,Winter,377,2,1,99,1,100,26.2,55,79,1
2025-03-04,102,Amoxicillin,North,138,149.142857142857,5.97,PharmaB,Capsule,Infection,178,87,Winter,285,4,3,25,1,100,16.7,51,171,0
2025-03-05,101,Paracetamol,North,184,200.142857142857,9.81,PharmaA,Tablet,Flu,137,48,Winter,398,4,1,75,2,100,19.9,63,166,1
2025-03-05,102,Amoxicillin,South,160,147.857142857143,16.08,PharmaB,Capsule,Infection,68,37,Winter,493,2,5,1,1,100,15.1,72,196,1
2025-03-06,101,Paracetamol,South,194,198.285714285714,10.06,PharmaA,Tablet,Flu,79,60,Winter,374,2,4,6,1,100,30.9,80,178,0
2025-03-06,102,Amoxicillin,North,153,145.428571428571,13.23,PharmaB,Capsule,Infection,99,46,Summer,272,7,4,57,2,100,34.3,51,94,0
2025-03-07,101,Paracetamol,North,195,198.285714285714,16.98,PharmaA,Tablet,Flu,75,55,Winter,203,4,3,64,1,100,34.2,82,54,1
2025-03-07,102,Amoxicillin,South,147,147.571428571429,14.24,PharmaB,Capsule,Infection,23,52,Summer,312,5,3,33,1,100,29.5,63,55,0
2025-03-08,101,Paracetamol,South,187,195,8.11,PharmaA,Tablet,Flu,25,84,Winter,466,3,1,90,2,100,20.6,86,180,1
2025-03-08,102,Amoxicillin,North,150,146.714285714286,8.5,PharmaB,Capsule,Infection,194,88,Summer,185,6,1,79,1,100,30.9,63,149,1
2025-03-09,101,Paracetamol,North,216,197.857142857143,14.5,PharmaA,Tablet,Flu,86,81,Winter,339,7,5,9,2,100,34.5,38,154,1
2025-03-09,102,Amoxicillin,South,147,147.571428571429,10.18,PharmaB,Capsule,Infection,67,70,Winter,119,6,1,2,2,100,25.8,50,115,0
2025-03-10,101,Paracetamol,North,175,190.857142857143,17.67,PharmaA,Tablet,Flu,89,89,Summer,284,7,3,54,2,100,21,46,65,1
